session,block,trial,phonemes
t15.2023.08.20,7,39,HH AW EH V ER  |  DH EH R  |  IH Z  |  N OW  |  AE K CH UW AH L  |  W EY  |  T UW  |  M EH ZH ER  |  DH IH S  | 
t15.2023.08.20,7,40,R IH L IY  |  W EH L  |  R EH K Y AH L EY T IH D  | 
t15.2023.08.20,7,41,DH EH R Z  |  N AH TH IH NG  |  R AO NG  |  W IH DH  |  DH AE T  | 
t15.2023.08.20,7,42,AH DH ER  |  S T EY T S  |  HH AE V  |  T EY K AH N  |  S T R AH G ER  |  V IH ZH ER Z  | 
t15.2023.08.20,7,43,W IH CH  |  AY  |  TH AO T  |  W AA Z  |  AH  |  R IY L  |  IH N T AH R EH S T IH NG  |  K W EH S AH N  | 
t15.2023.08.20,7,44,IH T S  |  AE Z  |  M AH CH  |  R IY CH ER Z  |  AE Z  |  DH EY  |  K AE N  |  P AA S AH L IY  |  D UW  | 
t15.2023.08.20,7,45,Y UH R  |  N AA L AH JH AH B AH L  |  AA N  |  DH AE T  | 
t15.2023.08.20,7,46,D UW  |  Y UW  |  S EH L  |  DH EH M  | 
t15.2023.08.20,7,47,N EH V ER  |  P IH T IH D  |  DH AH  |  AW T S AY D  | 
t15.2023.08.20,7,48,N AW  |  IH T S  |  B AE K  |  AH G EH N  | 
t15.2023.08.20,7,49,W IY R  |  N EH V ER  |  G OW IH NG  |  T UW  |  G EH T  |  DH AE T  |  B AE K  | 
t15.2023.08.20,8,25,AY  |  D OW N T  |  S IY  |  TH IH NG Z  |  CH EY JH IH NG  |  R IH L IY  | 
t15.2023.08.20,8,26,HH UW  |  Y UW  |  N EH V ER  |  IH K S P EH N T  |  T UW  |  W EH N  | 
t15.2023.08.20,8,27,D IH D  |  Y UW  |  S IY  |  P AH S IH F IH K  |  AY S  | 
t15.2023.08.20,8,28,DH EH R  |  W AA Z  |  S AH M  |  R IH L IY  |  N AH S T IY  |  P EH CH R AH N AY Z IH NG  | 
t15.2023.08.20,8,29,DH AH  |  D IH S IH ZH AH N  |  AH P B IH L T D  |  AH  |  L OW ER  |  K AA R T  |  R IH L IH NG  | 
t15.2023.08.20,8,30,AY  |  TH IH NG K  |  DH AE T  |  IH Z  |  AE N  |  EH K S AH L AH T  |  P R OW G R AE M  | 
t15.2023.08.20,8,31,DH AH  |  P AH L IH T AH K AH L  |  AE S P EH K T  | 
t15.2023.08.20,8,32,S IH N S  |  AY  |  D UW  |  AH  |  L AA T  |  AH V  |  P R AA JH AH T S  | 
t15.2023.08.20,8,33,DH EY  |  D IH D AH N T  |  K AA T  |  AH S  |  AO F  | 
t15.2023.08.20,8,34,EH V ER IY  |  M EY JH ER  |  S IH T IY  |  HH AE Z  |  AH  |  TH IY D ER  | 
t15.2023.08.20,8,35,DH AH  |  R OW L  |  IH N  |  DH AH  |  F AE M AH L IY  | 
t15.2023.08.20,8,36,W IY  |  D OW N T  |  R IH L IY  |  IY T  |  AW T  |  T UW  |  M AH CH  | 
t15.2023.08.20,8,38,G IH V  |  AE N  |  IH N S EH T AH F  | 
t15.2023.08.20,8,39,DH EY  |  L AY V  |  IH T  |  AH P  |  T UW  |  Y UW  |  AH N D  |  Y AO R  |  JH AA B M AH N T  | 
t15.2023.08.20,8,40,T UW  |  B AE TH  |  T UW P L EY S  | 
t15.2023.08.20,8,41,K UH D  |  Y UW  |  HH AE V  |  S N OW  | 
t15.2023.08.20,8,42,W EH N  |  DH EY  |  W ER  |  S Y AH NG G ER  | 
t15.2023.08.20,8,43,AY  |  HH OW P  |  Y UW  |  EH N JH OY D  |  DH IH S  | 
t15.2023.08.20,8,44,AY  |  W AA Z  |  P R IH T IY  |  SH AA CH T  |  IH T  |  DH AE T  | 
t15.2023.08.20,8,45,N AA T  |  DH AE T  |  AY V  |  B IH N  |  AH W EH R  |  AH V  | 
t15.2023.08.20,8,46,AY  |  W AA Z  |  G OW IH NG  |  T UW  |  S EY  |  AY  |  AO L W EY Z  |  EH N JH OY D  |  DH AE T  | 
t15.2023.08.20,8,47,IH T S  |  N AA T  |  L AY K  |  AY M  |  G OW IH NG  |  HH OW M  | 
t15.2023.08.20,8,48,D UW  |  DH EY  |  AO L  |  L AY V  |  IH N  |  DH AH  |  EH R IY AH  | 
t15.2023.08.20,8,49,AA R  |  R UW D  |  B AY  |  DH EH R  |  K IH D Z  | 
t15.2023.08.25,1,25,IH T S  |  AH  |  M IH N IY AH
t15.2023.08.25,1,26,DH EY  |  HH AE V  |  DH AH  |  M EH R AH N T S
t15.2023.08.25,1,27,AH L T AH M AH T L IY  |  W AH T  |  Y UW  |  D UW  |  IH Z  |  Y AO R  |  D IH S IH ZH AH N  | 
t15.2023.08.25,1,28,AY  |  TH IH NG K  |  DH EY  |  G OW  |  T UW  |  F AA R  | 
t15.2023.08.25,1,29,DH AH  |  B EH S T  |  IH N Z AE M P AH L  | 
t15.2023.08.25,1,30,S OW L IY  |  P AW ER  |  S AE N AH L IH K S  | 
t15.2023.08.25,1,31,B IH F AO R  |  AY  |  R IH T AY R D  | 
t15.2023.08.25,1,32,DH EY  |  K AE N D  |  B IY  |  R AH L EH K T IH V  | 
t15.2023.08.25,1,33,AY  |  W EH R  |  L AA T S  |  AH V  |  SH AO R T S  | 
t15.2023.08.25,1,34,M EY B IY  |  F AY V  |  AO R  |  S IH K S  |  Y IH R Z  |  AH G OW  | 
t15.2023.08.25,1,35,AY V  |  D AH N  |  P R IH T IY  |  G UH D  |  AE T  |  IH T  | 
t15.2023.08.25,1,36,DH AH EY  |  M AO R  |  R UW M  |  DH EY  |  N IY D  |  T UW  |  EH K S ER S AY Z  | 
t15.2023.08.25,1,37,W IY  |  W IH L  |  AH P IY L  |  DH IH S  |  D IH S IH ZH AH N  | 
t15.2023.08.25,1,38,AH N D  |  HH IY  |  DH AE T  |  L IY K S T  |  AH S  |  T UW  |  AW ER  |  N EH K S T  |  P OY N T  | 
t15.2023.08.25,1,39,AH S P AE N K T L IY  |  W EH N  |  Y UW  |  G EH T  |  D AH N  | 
t15.2023.08.25,1,40,AY  |  N UW  |  R AY T  |  AH W EY  |  HH IY  |  SH UH D AH N T  |  T R AY  |  T UW  |  JH AH CH  |  DH AH  |  T AY G ER  | 
t15.2023.08.25,1,41,HH AW  |  SH UH D  |  DH EY  |  D UW  |  IH T  | 
t15.2023.08.25,1,42,M AY  |  W AY F  |  K AY N D  |  AH V  |  L AE S  | 
t15.2023.08.25,1,43,AE F T ER  |  F AY V  |  Y UW Z  | 
t15.2023.08.25,1,44,D UW  |  S AH M TH IH NG  |  T UW  |  B IH T AH F AH L  |  DH AH  |  S K UW L  |  P R AA P AH T IY  | 
t15.2023.08.25,1,45,JH AH S T  |  T UW  |  G EH T  |  AH  |  T AY M  |  DH AE T  |  W IY  |  K AE N  |  B OW TH  |  G OW  | 
t15.2023.08.25,1,46,DH EH N  |  Y UW  |  HH AE V  |  T UW  |  M EY K  |  AH  |  S AE L AH T D  | 
t15.2023.08.25,1,47,B AH T  |  IH T S  |  AH L AO NG  |  DH AH  |  L AY N S  | 
t15.2023.08.25,1,48,DH AE T S  |  N IY T  |  DH AE Y UW  |  L AY K  |  R OW S  |  T EY CH IH NG L  |  AO L S OW  | 
t15.2023.08.25,1,49,AY M  |  AO L R EH D IY  |  AA N  |  M AY  |  JH AA B  | 
t15.2023.08.27,1,25,AH  |  L IH T AH L  |  T R EH K AH D  |  F AO R  |  IY CH  |  D EY  | 
t15.2023.08.27,1,26,N OW IH NG  |  Y AO R  |  CH OY S AH Z  | 
t15.2023.08.27,1,27,R AY D  |  L IH V Z  |  HH AE D  |  AH G EH AW N T  |  D EH S  | 
t15.2023.08.27,1,28,Y UW  |  G AE T  |  B L IY M  |  DH EH M  | 
t15.2023.08.27,1,29,P R AA B AH B L IY  |  M IH L AH T Z  |  AH V  |  D AA L ER Z  | 
t15.2023.08.27,1,30,S OW  |  AY  |  G AA T  |  AH N D ER  |  DH EH R  |  AH N D  |  M EH S T  |  W IH DH  |  DH AH  |  V OY S  | 
t15.2023.08.27,1,31,AE Z  |  F AA R  |  AE Z  |  JH AH S T  |  HH AE V IH NG  |  HH AE D AE K S  |  ER AW N D  | 
t15.2023.08.27,1,32,IH T  |  W UH D  |  D IH P EH N T  |  AH B AW T  |  W IH CH  |  W AH N  |  Y UW  |  W AA N T  | 
t15.2023.08.27,1,33,DH AE T  |  W AH N  |  W AA Z N T  |  R IH L IY  |  W AY L  |  T R EY D  | 
t15.2023.08.27,1,34,HH IY  |  AO L S OW  |  W AH T S  |  T UW  |  S IY  |  M AO R  |  S K UW L  |  S EY P T IY  | 
t15.2023.08.27,1,35,L EH S  |  S EY  |  T IH P AH K AH L  | 
t15.2023.08.27,1,36,D UW  |  Y UW  |  K AH N T IH N Y UW  | 
t15.2023.08.27,1,37,AY  |  P UH T  |  AO L  |  DH AH  |  M AH N IY  |  IH N T UW  |  IH T  | 
t15.2023.08.27,1,38,AH N D  |  IH T S  |  JH AH S T  |  IH N EH D AH B AH L  | 
t15.2023.08.27,1,39,IH T S  |  F AH N IY  |  AY  |  W AA Z  |  R EH D IY  | 
t15.2023.08.27,1,40,AY  |  S T IH L  |  G AA T  |  AH  |  K AH P AH L  |  AH V  |  Y EH R Z  |  AA N  |  IH T  |  T UW  |  G OW  | 
t15.2023.08.27,1,41,W IY  |  D OW N T  |  HH AE V  |  EH N IY W EH R  |  T UW  |  G OW  |  IY T  | 
t15.2023.08.27,1,42,AH N D  |  IY T S  |  D IH S IH ZH AH N  |  K AE N  |  L IY N  |  T UW  |  AH  |  D IH F ER AH N T  |  R IH Z ER L T  | 
t15.2023.08.27,1,43,W AH N  |  IH N  |  DH AH  |  M AO R N IH NG  |  AH N D  |  W AH N  |  IH N  |  DH AH  |  IY V N IH NG  | 
t15.2023.08.27,1,44,K AE N  |  Y UW  |  IH M AE JH AH N  | 
t15.2023.08.27,1,45,IH T S  |  AH B AW T  |  TH ER D IY  |  S IH K S  |  M AY L Z  |  AH W EY  | 
t15.2023.08.27,1,46,AY  |  K AE N  |  G AA T  |  DH AE T  |  M AH CH  |  AO F  |  DH AH  |  EH N D  | 
t15.2023.08.27,1,47,AE Z  |  L AO NG  |  AE Z  |  HH IY  |  P AH CH S  |  IH N  |  DH AH  |  AW ER Z  |  HH IY  |  N IY K S  |  T UW  |  D UW  | 
t15.2023.08.27,1,48,DH AE T  |  W AH N  |  DH AE T  |  Y UW  |  HH AE D  | 
t15.2023.08.27,1,49,B OW TH  |  AH V  |  DH AH  |  CH IH L D R AH N  |  W ER  |  IH N  |  K AA L IH JH  | 
t15.2023.09.01,8,25,Y UW  |  K AE N  |  G EH T  |  DH AH  |  EH N F AO R M EY SH AH N  |  T UW  |  S EH T  |  IH T  |  AH P  | 
t15.2023.09.01,8,26,F AY N D  |  AH  |  P L EY S  |  DH AE T  |  HH AE Z  |  AH  |  N AY S  |  JH AA B  | 
t15.2023.09.01,8,27,T UW  |  B IH K  |  DH AH  |  R AY T  |  P ER S AH N  | 
t15.2023.09.01,8,28,AY  |  G EH T  |  K AO L Z  |  AE T  |  HH OW M  | 
t15.2023.09.01,8,29,S AH M B AA D IY  |  W AA Z  |  T EH L IH NG  |  M IY  | 
t15.2023.09.01,8,30,AH  |  K AH P AH L  |  AH V  |  P R AA B L AH M Z  | 
t15.2023.09.01,8,31,B AH T  |  DH AE T  |  W AA Z  |  AH  |  R IH L IY  |  F AH N  | 
t15.2023.09.01,8,32,IH T  |  S AH M Z  |  L AY K  |  IH T S  |  G UH D  | 
t15.2023.09.01,8,33,AY  |  V OW T  |  R IH L EH UW ZH AH S L IY  | 
t15.2023.09.01,8,34,DH EH R  |  EH K S AH L AH N T  | 
t15.2023.09.01,8,35,N IH K  |  HH AE Z  |  G R EY T  |  V IH ZH AH N  | 
t15.2023.09.01,8,36,DH AE T S  |  JH AH S T  |  AE N  |  IH K S T R IY M  |  IH G Z AE M P AH L  | 
t15.2023.09.01,8,37,AH  |  L AA T  |  AH V  |  TH IH NG Z  |  AA R  |  R IH L IY  |  V AY L AH N T  |  T AY P  |  M UW V IY Z  | 
t15.2023.09.01,8,38,AY  |  TH IH NG K  |  DH AE D  |  B IY  |  N IY T  | 
t15.2023.09.01,8,39,P UH T  |  AO L  |  Y AO R  |  R IY S EH K L AH B AH L Z  |  IH N  |  DH AE T  |  W AH N  | 
t15.2023.09.01,8,40,Y UH R  |  P R EH Z AH N T  |  L OW K EY SH AH N  | 
t15.2023.09.01,8,41,AY L  |  T EY K  |  IH T  |  AW T  | 
t15.2023.09.01,8,42,P IY P AH L  |  G OW IH NG  |  IH N T UW  |  D IH F ER AH N T  |  F IY L D Z  | 
t15.2023.09.01,8,43,AY  |  G EH S  |  DH AH  |  K W EH S CH AH N  |  IH Z  |  IH N  |  M AY  |  M AY N D  | 
t15.2023.09.01,8,44,L EH T S  |  T AO K  |  AH B AW T  |  HH IY R  |  B AH L UW SH AH N  | 
t15.2023.09.01,8,45,AY  |  W OW N T  |  B IY  |  D R AY V IH NG  | 
t15.2023.09.01,8,46,W IH CH  |  IH Z  |  AH  |  G UH D  |  D IY L  | 
t15.2023.09.01,8,47,AY  |  N OW  |  L AA T S  |  AH V  |  W IH M AH N  |  W UH D  |  D UW  |  IH T  |  AO L  |  DH AH  |  T AY M  | 
t15.2023.09.01,8,48,DH IH S  |  IH Z  |  M AY  |  D AE D S  |  P AA R T  | 
t15.2023.09.01,8,49,Y UW  |  K UH D  |  S T IH K  |  T UW  |  DH AE T  | 
t15.2023.09.01,9,25,EH N JH OY  |  DH AH  |  IH M EH N CH ER  | 
t15.2023.09.01,9,26,AY  |  D OW N T  |  HH AE V  |  AE L S EH S  |  IY DH ER  | 
t15.2023.09.01,9,27,S ER T AH N T L IY  |  IH F  |  Y UW  |  W AA CH  |  IH T  |  EH N IY  |  AH M AW N T  |  AH V  |  T AY M  | 
t15.2023.09.01,9,28,N OW  |  IH N K AH M  |  T EH K S AH Z  |  IH N  |  T AE K S AH Z  | 
t15.2023.09.01,9,29,AY  |  D OW N T  |  N OW  |  IH F  |  Y UW  |  HH AE V  |  W AH N  | 
t15.2023.09.01,9,30,W AY  |  AA R  |  AW ER  |  P R IH Z AH N Z  |  OW V ER K R AY T AH IH D  | 
t15.2023.09.01,9,31,DH EY  |  W UH D  |  V OW T  |  T R UW  |  CH OY S  | 
t15.2023.09.01,9,32,W EH N  |  HH IY  |  G OW Z  |  T UW  |  S K UW L  | 
t15.2023.09.01,9,33,IH T  |  W AA Z  |  L AY K  |  F AY V  |  AO R  |  S IH K S  |  D AA L ER Z  | 
t15.2023.09.01,9,34,AY  |  JH AH S T  |  TH AO T  |  DH AE T  |  DH EY  |  B R AO G  |  AH P  | 
t15.2023.09.01,9,35,IH T S  |  OW N L IY  |  L AY K  |  IH L EH V AH N T  |  HH AH N D R AH D  |  S T W EH R  |  F IY T  | 
t15.2023.09.01,9,36,D OW N T  |  B L OW  |  DH EH R  |  AE N D  |  AH V  | 
t15.2023.09.01,9,37,W EH N  |  HH IY  |  K AH M Z  |  DH AH  |  F AE N AH L  |  D IH S IH ZH AH N  |  W IH L  |  B IY  |  M EY D  | 
t15.2023.09.01,9,38,DH AH  |  K AA R P AH N IH NG  |  IH Z  |  G R OW S  | 
t15.2023.09.01,9,39,K IY  |  P OY N T S  |  F R AH M  |  DH AH  |  M EY N D Z  |  R IY P AO R T  | 
t15.2023.09.01,9,40,TH K L IY R  |  AW T  |  AW ER  |  B EY S Z M AH N T  | 
